station_distance,station_label,x,y,curvature,predicted_speed_mph,risk_score
0.0,Sta 0+00,0.0,0.0,0.0,55,0.0
1.0101010101010102,Sta 0+01,1.0101010101010102,0.0,0.0,55,0.0
2.0202020202020203,Sta 0+02,2.0202020202020203,0.0,0.0,55,0.0
3.0303030303030303,Sta 0+03,3.0303030303030303,0.0,0.0,55,0.0
4.040404040404041,Sta 0+04,4.040404040404041,0.0,0.0,55,0.0
5.050505050505051,Sta 0+05,5.050505050505051,0.0,0.0,55,0.0
6.0606060606060606,Sta 0+06,6.0606060606060606,0.0,0.0,55,0.0
7.070707070707071,Sta 0+07,7.070707070707071,0.0,0.0,55,0.0
8.080808080808081,Sta 0+08,8.080808080808081,0.0,0.0,55,0.0
9.090909090909092,Sta 0+09,9.090909090909092,0.0,0.0,55,0.0
10.101010101010102,Sta 0+10,10.101010101010102,0.0,0.0,55,0.0
11.111111111111112,Sta 0+11,11.111111111111112,0.0,0.0,55,0.0
12.121212121212121,Sta 0+12,12.121212121212121,0.0,0.0,55,0.0
13.131313131313131,Sta 0+13,13.131313131313131,0.0,0.0,55,0.0
14.141414141414142,Sta 0+14,14.141414141414142,0.0,0.0,55,0.0
15.151515151515152,Sta 0+15,15.151515151515152,0.0,0.0,55,0.0
16.161616161616163,Sta 0+16,16.161616161616163,0.0,0.0,55,0.0
17.171717171717173,Sta 0+17,17.171717171717173,0.0,0.0,55,0.0
18.181818181818183,Sta 0+18,18.181818181818183,0.0,0.0,55,0.0
19.191919191919194,Sta 0+19,19.191919191919194,0.0,0.0,55,0.0
20.202020202020204,Sta 0+20,20.202020202020204,0.0,0.0,55,0.0
21.212121212121215,Sta 0+21,21.212121212121215,0.0,0.0,55,0.0
22.222222222222225,Sta 0+22,22.222222222222225,0.0,0.0,55,0.0
23.232323232323235,Sta 0+23,23.232323232323235,0.0,0.0,55,0.0
24.242424242424242,Sta 0+24,24.242424242424242,0.0,0.0,55,0.0
25.252525252525253,Sta 0+25,25.252525252525253,0.0,0.0,55,0.0
26.262626262626263,Sta 0+26,26.262626262626263,0.0,0.0,55,0.0
27.272727272727273,Sta 0+27,27.272727272727273,0.0,0.0,55,0.0
28.282828282828284,Sta 0+28,28.282828282828284,0.0,0.0,55,0.0
29.292929292929294,Sta 0+29,29.292929292929294,0.0,0.0,55,0.0
30.303030303030305,Sta 0+30,30.303030303030305,0.0,0.0,55,0.0
31.313131313131315,Sta 0+31,31.313131313131315,0.0,0.0,55,0.0
32.323232323232325,Sta 0+32,32.323232323232325,0.0,0.0,55,0.0
33.333333333333336,Sta 0+33,33.333333333333336,0.0,0.0,55,0.0
34.343434343434346,Sta 0+34,34.343434343434346,0.0,0.0,55,0.0
35.35353535353536,Sta 0+35,35.35353535353536,0.0,0.0,55,0.0
36.36363636363637,Sta 0+36,36.36363636363637,0.0,0.0,55,0.0
37.37373737373738,Sta 0+37,37.37373737373738,0.0,0.0,55,0.0
38.38383838383839,Sta 0+38,38.38383838383839,0.0,0.0,55,0.0
39.3939393939394,Sta 0+39,39.3939393939394,0.0,0.0,55,0.0
40.40404040404041,Sta 0+40,40.40404040404041,0.0,0.0,55,0.0
41.41414141414142,Sta 0+41,41.41414141414142,0.0,0.0,55,0.0
42.42424242424243,Sta 0+42,42.42424242424243,0.0,0.0,55,0.0
43.43434343434344,Sta 0+43,43.43434343434344,0.0,0.0,55,0.0
44.44444444444445,Sta 0+44,44.44444444444445,0.0,0.0,55,0.0
45.45454545454546,Sta 0+45,45.45454545454546,0.0,0.0,55,0.0
46.46464646464647,Sta 0+46,46.46464646464647,0.0,0.0,55,0.0
47.47474747474748,Sta 0+47,47.47474747474748,0.0,0.0,55,0.0
48.484848484848484,Sta 0+48,48.484848484848484,0.0,0.0,55,0.0
49.494949494949495,Sta 0+49,49.494949494949495,0.0,0.0,55,0.0
50.505050505050505,Sta 0+50,50.505050505050505,0.0,0.0,55,0.0
51.515151515151516,Sta 0+51,51.515151515151516,0.0,0.0,55,0.0
52.525252525252526,Sta 0+52,52.525252525252526,0.0,0.0,55,0.0
53.535353535353536,Sta 0+53,53.535353535353536,0.0,0.0,55,0.0
54.54545454545455,Sta 0+54,54.54545454545455,0.0,0.0,55,0.0
55.55555555555556,Sta 0+55,55.55555555555556,0.0,0.0,55,0.0
56.56565656565657,Sta 0+56,56.56565656565657,0.0,0.0,55,0.0
57.57575757575758,Sta 0+57,57.57575757575758,0.0,0.0,55,0.0
58.58585858585859,Sta 0+58,58.58585858585859,0.0,0.0,55,0.0
59.5959595959596,Sta 0+59,59.5959595959596,0.0,0.0,55,0.0
60.60606060606061,Sta 0+60,60.60606060606061,0.0,0.0,55,0.0
61.61616161616162,Sta 0+61,61.61616161616162,0.0,0.0,55,0.0
62.62626262626263,Sta 0+62,62.62626262626263,0.0,0.0,55,0.0
63.63636363636364,Sta 0+63,63.63636363636364,0.0,0.0,55,0.0
64.64646464646465,Sta 0+64,64.64646464646465,0.0,0.0,55,0.0
65.65656565656566,Sta 0+65,65.65656565656566,0.0,0.0,55,0.0
66.66666666666667,Sta 0+66,66.66666666666667,0.0,0.0,55,0.0
67.67676767676768,Sta 0+67,67.67676767676768,0.0,0.0,55,0.0
68.68686868686869,Sta 0+68,68.68686868686869,0.0,0.0,55,0.0
69.6969696969697,Sta 0+69,69.6969696969697,0.0,0.0,55,0.0
70.70707070707071,Sta 0+70,70.70707070707071,0.0,0.0,55,0.0
71.71717171717172,Sta 0+71,71.71717171717172,0.0,0.0,55,0.0
72.72727272727273,Sta 0+72,72.72727272727273,0.0,0.0,55,0.0
73.73737373737374,Sta 0+73,73.73737373737374,0.0,0.0,55,0.0
74.74747474747475,Sta 0+74,74.74747474747475,0.0,0.0,55,0.0
75.75757575757576,Sta 0+75,75.75757575757576,0.0,0.0,55,0.0
76.76767676767678,Sta 0+76,76.76767676767678,0.0,0.0,55,0.0
77.77777777777779,Sta 0+77,77.77777777777779,0.0,0.0,55,0.0
78.7878787878788,Sta 0+78,78.7878787878788,0.0,0.0,55,0.0
79.7979797979798,Sta 0+79,79.7979797979798,0.0,0.0,55,0.0
80.80808080808082,Sta 0+80,80.80808080808082,0.0,0.0,55,0.0
81.81818181818183,Sta 0+81,81.81818181818183,0.0,0.0,55,0.0
82.82828282828284,Sta 0+82,82.82828282828284,0.0,0.0,55,0.0
83.83838383838385,Sta 0+83,83.83838383838385,0.0,0.0,55,0.0
84.84848484848486,Sta 0+84,84.84848484848486,0.0,0.0,55,0.0
85.85858585858587,Sta 0+85,85.85858585858587,0.0,0.0,55,0.0
86.86868686868688,Sta 0+86,86.86868686868688,0.0,0.0,55,0.0
87.87878787878789,Sta 0+87,87.87878787878789,0.0,0.0,55,0.0
88.8888888888889,Sta 0+88,88.8888888888889,0.0,0.0,55,0.0
89.89898989898991,Sta 0+89,89.89898989898991,0.0,0.0,55,0.0
90.90909090909092,Sta 0+90,90.90909090909092,0.0,0.0,55,0.0
91.91919191919193,Sta 0+91,91.91919191919193,0.0,0.0,55,0.0
92.92929292929294,Sta 0+92,92.92929292929294,0.0,0.0,55,0.0
93.93939393939395,Sta 0+93,93.93939393939395,0.0,0.0,55,0.0
94.94949494949496,Sta 0+94,94.94949494949496,0.0,0.0,55,0.0
95.95959595959597,Sta 0+95,95.95959595959597,0.0,0.0,55,0.0
96.96969696969697,Sta 0+96,96.96969696969697,0.0,0.0,55,0.0
97.97979797979798,Sta 0+97,97.97979797979798,0.0,0.0,55,0.0
98.98989898989899,Sta 0+98,98.98989898989899,0.0,0.0,55,0.0
100.0,Sta 1+00,100.0,0.0,0.01019655908793469,40,10.469286360661963
100.0,Sta 1+00,100.0,0.0,0.02990210556956892,25,30.447560115023467
101.01997992821796,Sta 1+01,101.01992686957027,0.010403590539674212,0.012500260116826678,40,12.77298738955395
102.03995985643594,Sta 1+02,102.03942930307929,0.04161003277085484,0.020000000000001305,25,20.54545454545585
103.0599397846539,Sta 1+03,103.05808304109215,0.09360634033166093,0.019999999999997933,40,20.272727272725206
104.07991971287187,Sta 1+04,104.07546417735317,0.16637087529034034,0.019999999999998703,40,20.272727272725977
105.09989964108982,Sta 1+05,105.09114933519177,0.2598733571498002,0.02000000000000093,25,20.545454545455478
106.11987956930778,Sta 1+06,106.104715843708,0.3740748754486134,0.02000000000000143,25,20.545454545455975
107.13985949752575,Sta 1+07,107.11574191366425,0.5089279059533638,0.019999999999999688,40,20.27272727272696
108.15983942574371,Sta 1+08,108.12380681301029,0.6643763304355588,0.019999999999998144,40,20.27272727272542
109.17981935396168,Sta 1+09,109.12849104196809,0.8403554600248526,0.019999999999999966,40,20.272727272727238
110.19979928217964,Sta 1+10,110.12937650760405,1.0367920621289457,0.019999999999999366,40,20.272727272726637
111.2197792103976,Sta 1+11,111.12604669781572,1.2536043909088193,0.020000000000000528,25,20.545454545455076
112.23975913861557,Sta 1+12,112.11808685466062,1.4907022212967718,0.020000000000002162,25,20.54545454545671
